time,type,oldValue,newValue,diff,diffPercent,position,id,oldColor,newColor,oldSize,newSize,oldPosition,newPosition
2025-03-04T23:07:22.984136,heading,120,122,2.0,1.7,,,,,,,,
2025-03-04T23:07:24.990376,fuel_level,87,86.59354120914769,-0.4064587908523123,-0.5,,,,,,,,
2025-03-04T23:07:24.990483,symbol,◎,■,,,bottom-left,3.0,,,,,,
2025-03-04T23:07:24.990514,symbolStatus,normal,warning,,,bottom-left,3.0,,,,,,
2025-03-04T23:07:27.000866,speed,450,456,6.0,1.3,,,,,,,,
2025-03-04T23:07:27.000921,shape,square,diamond,,,,2.0,"(231, 76, 60)","(243, 156, 18)",20.0,26.0,"x:800,y:300","x:241,y:231"
2025-03-04T23:07:29.013814,fuel_level,86.59354120914769,86.14488170026962,-0.44865950887806605,-0.5,,,,,,,,
2025-03-04T23:07:31.030517,altitude,10000,9977,-23.0,-0.2,,,,,,,,
2025-03-04T23:07:31.030544,fuel_level,86.14488170026962,85.47757042009843,-0.6673112801711909,-0.8,,,,,,,,
2025-03-04T23:07:31.030572,symbol,◆,⬡,,,top-left,1.0,,,,,,
2025-03-04T23:07:31.030580,symbolStatus,normal,warning,,,top-left,1.0,,,,,,
2025-03-04T23:07:35.056876,altitude,9977,9941,-36.0,-0.4,,,,,,,,
2025-03-04T23:07:35.056911,speed,456,452,-4.0,-0.9,,,,,,,,
2025-03-04T23:07:35.056946,shape,circle,circle,,,,1.0,"(52, 152, 219)","(52, 152, 219)",15.0,25.0,"x:300,y:400","x:282,y:495"
2025-03-04T23:07:37.070805,fuel_level,85.47757042009843,84.82643280852403,-0.6511376115743985,-0.8,,,,,,,,
2025-03-04T23:07:37.070863,shape,triangle,diamond,,,,3.0,"(46, 204, 113)","(243, 156, 18)",25.0,16.0,"x:500,y:600","x:582,y:431"
2025-03-04T23:07:39.085671,altitude,9941,9958,17.0,0.2,,,,,,,,
2025-03-04T23:07:39.085745,speed,452,455,3.0,0.7,,,,,,,,
2025-03-04T23:07:39.085773,heading,122,119,-3.0,-2.5,,,,,,,,
2025-03-04T23:07:39.085802,fuel_level,84.82643280852403,84.93784645412066,0.11141364559662748,0.1,,,,,,,,
2025-03-04T23:07:41.096430,speed,455,449,-6.0,-1.3,,,,,,,,
2025-03-04T23:07:41.096474,temperature,23,22,-1.0,-4.3,,,,,,,,
2025-03-04T23:07:41.096510,shape,diamond,hexagon,,,,3.0,"(243, 156, 18)","(155, 89, 182)",16.0,18.0,"x:582,y:431","x:332,y:557"
2025-03-04T23:07:45.109509,altitude,9958,9864,-94.0,-0.9,,,,,,,,
2025-03-04T23:07:45.109552,speed,449,457,8.0,1.8,,,,,,,,
2025-03-04T23:07:47.120200,speed,457,458,1.0,0.2,,,,,,,,
2025-03-04T23:07:47.120238,heading,119,116,-3.0,-2.5,,,,,,,,
2025-03-04T23:07:47.120250,temperature,22,21,-1.0,-4.5,,,,,,,,
2025-03-04T23:07:47.120273,symbol,▲,⬢,,,top-right,2.0,,,,,,
2025-03-04T23:07:47.120285,symbolStatus,warning,normal,,,top-right,2.0,,,,,,
2025-03-04T23:07:49.136073,fuel_level,84.93784645412066,83.62366266618002,-1.3141837879406353,-1.5,,,,,,,,
2025-03-04T23:07:49.136110,temperature,21,20,-1.0,-4.8,,,,,,,,
2025-03-04T23:07:51.149338,heading,116,117,1.0,0.9,,,,,,,,
2025-03-04T23:07:51.149379,fuel_level,83.62366266618002,81.70340327987074,-1.920259386309283,-2.3,,,,,,,,
2025-03-04T23:07:53.162113,speed,458,451,-7.0,-1.5,,,,,,,,
2025-03-04T23:07:53.162150,heading,117,116,-1.0,-0.9,,,,,,,,
2025-03-04T23:07:55.178493,temperature,20,19,-1.0,-5.0,,,,,,,,
2025-03-04T23:07:57.194586,symbol,⬢,◉,,,top-right,2.0,,,,,,
2025-03-04T23:07:57.194626,symbolStatus,normal,warning,,,top-right,2.0,,,,,,
2025-03-04T23:07:59.199595,altitude,9864,9958,94.0,1.0,,,,,,,,
2025-03-04T23:07:59.199626,speed,451,453,2.0,0.4,,,,,,,,
2025-03-04T23:07:59.199636,fuel_level,81.70340327987074,80.54360971484829,-1.1597935650224542,-1.4,,,,,,,,
2025-03-04T23:07:59.199655,symbol,⬡,◉,,,top-left,1.0,,,,,,
2025-03-04T23:08:03.218613,heading,116,117,1.0,0.9,,,,,,,,
2025-03-04T23:08:05.219182,altitude,9958,10000,42.0,0.4,,,,,,,,
2025-03-04T23:08:05.219230,symbol,◉,●,,,top-right,2.0,,,,,,
2025-03-04T23:08:09.241352,heading,117,115,-2.0,-1.7,,,,,,,,
2025-03-04T23:08:09.241384,temperature,19,18,-1.0,-5.3,,,,,,,,
2025-03-04T23:08:11.254753,altitude,10000,9962,-38.0,-0.4,,,,,,,,
2025-03-04T23:08:11.254795,speed,453,462,9.0,2.0,,,,,,,,
2025-03-04T23:08:11.254811,fuel_level,80.54360971484829,80.10756778018752,-0.43604193466076424,-0.5,,,,,,,,
2025-03-04T23:08:13.264328,fuel_level,80.10756778018752,81.4952700759396,1.387702295752078,1.7,,,,,,,,
2025-03-04T23:08:13.264390,temperature,18,17,-1.0,-5.6,,,,,,,,
2025-03-04T23:08:15.278169,fuel_level,81.4952700759396,80.84840817019251,-0.6468619057470875,-0.8,,,,,,,,
2025-03-04T23:08:21.310280,speed,462,452,-10.0,-2.2,,,,,,,,
2025-03-04T23:08:21.310339,heading,115,119,4.0,3.5,,,,,,,,
2025-03-04T23:08:23.325112,heading,119,122,3.0,2.5,,,,,,,,
2025-03-04T23:08:25.340251,heading,122,124,2.0,1.6,,,,,,,,
2025-03-04T23:08:25.340314,symbol,●,★,,,top-right,2.0,,,,,,
2025-03-04T23:08:25.340333,symbolStatus,warning,normal,,,top-right,2.0,,,,,,
2025-03-04T23:08:27.349311,temperature,17,16,-1.0,-5.9,,,,,,,,
2025-03-04T23:08:29.359267,fuel_level,80.84840817019251,82.0720915377978,1.2236833676052896,1.5,,,,,,,,
