frame,image_file,speed,heading,altitude
frame_0000.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0000.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0029.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0029.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0058.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0058.jpg,420,270,3500
frame_0087.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0087.jpg,420,90,5000
frame_0116.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0116.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0145.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0145.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0174.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0174.jpg,,290,4000
frame_0203.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0203.jpg,420,315,8000
frame_0232.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0232.jpg,520,320,3000
frame_0261.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0261.jpg,520,270,10000
frame_0290.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0290.jpg,320,60,12000
frame_0319.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0319.jpg,350,45,12000
frame_0348.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0348.jpg,450,90,8000
frame_0377.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0377.jpg,420,280,10000
frame_0406.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0406.jpg,420,290,3000
frame_0435.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0435.jpg,430,275,8000
frame_0464.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0464.jpg,650,220,16000
frame_0493.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0493.jpg,350,270,12000
frame_0522.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0522.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0551.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0551.jpg,320,30,12000
frame_0580.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0580.jpg,360,30,10000
frame_0609.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0609.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0638.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0638.jpg,420,70,23000
frame_0667.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0667.jpg,550,45,12000
frame_0696.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0696.jpg,420,270,10000
frame_0725.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0725.jpg,420,285,14000
frame_0754.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0754.jpg,430,240,8000
frame_0783.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0783.jpg,420,285,10000
frame_0812.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0812.jpg,350,270,15000
frame_0841.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0841.jpg,420,240,7000
frame_0870.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0870.jpg,MISMATCH,MISMATCH,MISMATCH
frame_0899.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0899.jpg,420,270,10000
frame_0928.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0928.jpg,550,285,2000
frame_0957.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0957.jpg,430,310,12000
frame_0986.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_0986.jpg,MISMATCH,MISMATCH,MISMATCH
frame_1015.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1015.jpg,450,270,5000
frame_1044.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1044.jpg,420,310,8500
frame_1073.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1073.jpg,420,240,8000
frame_1102.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1102.jpg,450,90,15000
frame_1131.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1131.jpg,MISMATCH,MISMATCH,MISMATCH
frame_1160.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1160.jpg,,270,8000
frame_1189.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1189.jpg,420,325,15000
frame_1218.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1218.jpg,270,90,10000
frame_1247.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1247.jpg,250,090,15000
